nama_rumah_makan,alamat,kategori,menu,range_harga,kategori_harga,suasana,tipe_pengunjung,fasilitas,deskripsi,metadata_tfidf,metadata_tfidf_processed
1933 Dapur & Kopi,"Jl. Sulanjana No.17, Kelurahan Tamansari, Kecamatan Bandung Wetan",Cafe & Dessert,"Burame Burger Rame Rame, Cappuccino Coffee, Cheesecake, Chocolate Hot Ice, Combo Pepper Rice, Es Kopi Biru, Es Kopi Maung, Espresso, Hot Cappuccino and Apple Danish, Ice Lemongras, Macchiato, Nasi Goreng Kambing, Nasi Padang, Sambal Balado Ikan, Tahu Cabe Garam, Teriyaki Chicken",  Rp. 25.000 - 50.000  ,Sedang,"Nyaman, Romantis, Santai, Tenang, Trendi","Berkelompok, Mahasiswa, Turis","Memiliki bar, Toilet, Wi-Fi, Parkiran","Menyajikan pengalaman kuliner yang tak terlupakan, 1933 Dapur & Kopi dengan suasana nyaman yang membuat betah berlama-lama dan dilengkapi memiliki bar, toilet yang terawat, wi-fi. Sempurna untuk berkelompok. Tunggu apa lagi? Segera kunjungi!","1933 Dapur & Kopi Cafe & Dessert Burame Burger Rame Rame, Cappuccino Coffee, Cheesecake, Chocolate Hot Ice, Combo Pepper Rice, Es Kopi Biru, Es Kopi Maung, Espresso, Hot Cappuccino and Apple Danish, Ice Lemongras, Macchiato, Nasi Goreng Kambing, Nasi Padang, Sambal Balado Ikan, Tahu Cabe Garam, Teriyaki Chicken Nyaman, Romantis, Santai, Tenang, Trendi Memiliki bar, Toilet, Wi-Fi, Parkiran Berkelompok, Mahasiswa, Turis Jl. Sulanjana No.17, Kelurahan Tamansari, Kecamatan Bandung Wetan Sedang Menyajikan pengalaman kuliner yang tak terlupakan, 1933 Dapur & Kopi dengan suasana nyaman yang membuat betah berlama-lama dan dilengkapi memiliki bar, toilet yang terawat, wi-fi. Sempurna untuk berkelompok. Tunggu apa lagi? Segera kunjungi!",dapur kopi dessert burame burger rame rame cappuccino coffee cheesecake chocolate hot ice combo pepper rice es kopi biru es kopi maung espresso hot cappuccino and apple danish ice lemongras macchiato nasi goreng kambing nasi padang sambal balado ikan tahu cabe garam teriyaki chicken nyaman romantis santai tenang trendi milik bar toilet wi fi parkir kelompok mahasiswa turis jl sulanjana no lurah tamansari camat bandung wetan sedang saji alam tak lupa dapur kopi suasana nyaman buat betah lama lama lengkap milik bar toilet awat wi fi sempurna kelompok tunggu apa segera kunjung
499 Restoran,"Jl. A. Yani No.687, Kelurahan Padasuka, Kecamatan Cibeunying Kidul",Chinese Food,"Ayam Nanking, Ayam Rebus Saos Jahe, Bistik Shanghai, Cap Cay Goreng, Capcay, Es Jeruk Kelapa, Es Shanghai, Fu Yung Hai, Kangkung CAH Sapi & Ayam Telor Asin, Mie Baso Special, Mie Goreng, Mie Goreng Dan Yamien Manis, Mie Goreng Spesial 499, Nasi Goreng 499, Sapo Tahu Ayam, Soup Asparagus, Udang Goreng Mentega",  Rp. 50.000 - 100.000  ,Sedang,"Nyaman, Santai, Tenang","Berkelompok, Keluarga","Toilet, Wi-Fi, Parkiran","Pilihan tepat untuk menikmati hidangan berkualitas, 499 Restoran dengan suasana nyaman yang membuat betah berlama-lama dan dilengkapi toilet yang terawat, wi-fi, parkiran. Sempurna untuk berkelompok. Tunggu apa lagi? Segera kunjungi!","499 Restoran Chinese Food Ayam Nanking, Ayam Rebus Saos Jahe, Bistik Shanghai, Cap Cay Goreng, Capcay, Es Jeruk Kelapa, Es Shanghai, Fu Yung Hai, Kangkung CAH Sapi & Ayam Telor Asin, Mie Baso Special, Mie Goreng, Mie Goreng Dan Yamien Manis, Mie Goreng Spesial 499, Nasi Goreng 499, Sapo Tahu Ayam, Soup Asparagus, Udang Goreng Mentega Nyaman, Santai, Tenang Toilet, Wi-Fi, Parkiran Berkelompok, Keluarga Jl. A. Yani No.687, Kelurahan Padasuka, Kecamatan Cibeunying Kidul Sedang Pilihan tepat untuk menikmati hidangan berkualitas, 499 Restoran dengan suasana nyaman yang membuat betah berlama-lama dan dilengkapi toilet yang terawat, wi-fi, parkiran. Sempurna untuk berkelompok. Tunggu apa lagi? Segera kunjungi!",chinese food ayam nanking ayam rebus saos jahe bistik shanghai cap cay goreng capcay es jeruk kelapa es shanghai fu yung hai kangkung cah sapi ayam telor asin mie baso special mie goreng mie goreng yamien manis mie goreng spesial nasi goreng sapo tahu ayam soup asparagus udang goreng mentega nyaman santai tenang toilet wi fi parkir kelompok keluarga jl a yani no lurah padasuka camat cibeunying kidul sedang pilih tepat nikmat hidang kualitas suasana nyaman buat betah lama lama lengkap toilet awat wi fi parkir sempurna kelompok tunggu apa segera kunjung
81 Sky Resto,"Lt. Roof Top, Jl. Dr. Setiabudi No.153, Kelurahan Gegerkalong, Kecamatan Sukasari",Japanese Food,"Americano, Bihun Goreng Tumis Pokcoy Dan Gula, Chicken Katsu Fried Rice, French Fries & Sausage, Hot Cappuccino, Iced Sweet Tea, Juice, Nasi Goreng Ayam Cabai Rawit, Nasi Goreng Kampung, Nasi Goreng Pedas, Nasi Maranggi, Potato Sosis, Rawon Iga Nasi, Teh Jahe",  Rp. 50.000 - 75.000  ,Sedang,"Nyaman, Romantis, Santai, Tenang, Trendi","Berkelompok, Turis",Toilet,"Menyajikan pengalaman kuliner yang tak terlupakan, 81 Sky Resto dengan suasana nyaman yang membuat betah berlama-lama dan dilengkapi toilet yang terawat. Sempurna untuk berkelompok. Nikmati pengalaman kuliner terbaik di sini!","81 Sky Resto Japanese Food Americano, Bihun Goreng Tumis Pokcoy Dan Gula, Chicken Katsu Fried Rice, French Fries & Sausage, Hot Cappuccino, Iced Sweet Tea, Juice, Nasi Goreng Ayam Cabai Rawit, Nasi Goreng Kampung, Nasi Goreng Pedas, Nasi Maranggi, Potato Sosis, Rawon Iga Nasi, Teh Jahe Nyaman, Romantis, Santai, Tenang, Trendi Toilet Berkelompok, Turis Lt. Roof Top, Jl. Dr. Setiabudi No.153, Kelurahan Gegerkalong, Kecamatan Sukasari Sedang Menyajikan pengalaman kuliner yang tak terlupakan, 81 Sky Resto dengan suasana nyaman yang membuat betah berlama-lama dan dilengkapi toilet yang terawat. Sempurna untuk berkelompok. Nikmati pengalaman kuliner terbaik di sini!",sky japanese food americano bihun goreng tumis pokcoy gula chicken katsu fried rice french fries sausage hot cappuccino iced sweet tea juice nasi goreng ayam cabai rawit nasi goreng kampung nasi goreng pedas nasi maranggi potato sosis rawon iga nasi teh jahe nyaman romantis santai tenang trendi toilet kelompok turis lt roof top jl dr setiabudi no lurah gegerkalong camat sukasari sedang saji alam tak lupa sky suasana nyaman buat betah lama lama lengkap toilet awat sempurna kelompok nikmat alam baik sini
90 Gourmet,"Jl. L. L. R.E. Martadinata No.90, Kelurahan Cihapit, Kecamatan Bandung Wetan",Japanese Food,"BBQ Chicken Steak, Beef Chashu Bowl, Chicken Maryland, Fish and Chips, Foods, Gyu Steak Bowl, Ice Cream, Ice Lemon Tea, Karnivor Mix Grill, Kopi Magic, Larva, Nasi Bakar Teri, Orange Virgin Mojitos, Pastry, Salmon Teriyaki Bowl, Special California Roll, Wine",  Rp. 50.000 - 75.000  ,Sedang,"Kelas atas, Nyaman, Romantis, Santai, Tenang, Trendi","Berkelompok, Mahasiswa, Keluarga, Turis","Toilet, Wi-Fi, Parkiran","Menawarkan kelezatan tiada tara, 90 Gourmet dengan suasana kelas atas yang menyenangkan dan dilengkapi toilet yang terawat, wi-fi, parkiran. Sempurna untuk berkelompok. Pengalaman kuliner yang tidak akan Anda sesali!","90 Gourmet Japanese Food BBQ Chicken Steak, Beef Chashu Bowl, Chicken Maryland, Fish and Chips, Foods, Gyu Steak Bowl, Ice Cream, Ice Lemon Tea, Karnivor Mix Grill, Kopi Magic, Larva, Nasi Bakar Teri, Orange Virgin Mojitos, Pastry, Salmon Teriyaki Bowl, Special California Roll, Wine Kelas atas, Nyaman, Romantis, Santai, Tenang, Trendi Toilet, Wi-Fi, Parkiran Berkelompok, Mahasiswa, Keluarga, Turis Jl. L. L. R.E. Martadinata No.90, Kelurahan Cihapit, Kecamatan Bandung Wetan Sedang Menawarkan kelezatan tiada tara, 90 Gourmet dengan suasana kelas atas yang menyenangkan dan dilengkapi toilet yang terawat, wi-fi, parkiran. Sempurna untuk berkelompok. Pengalaman kuliner yang tidak akan Anda sesali!",gourmet japanese food bbq chicken steak beef chashu bowl chicken maryland fish and chips foods gyu steak bowl ice cream ice lemon tea karnivor mix grill kopi magic larva nasi bakar teri orange virgin mojitos pastry salmon teriyaki bowl special california roll wine kelas atas nyaman romantis santai tenang trendi toilet wi fi parkir kelompok mahasiswa keluarga turis jl l l r e martadinata no lurah cihapit camat bandung wetan sedang tawar lezat tiada tara gourmet suasana kelas atas senang lengkap toilet awat wi fi parkir sempurna kelompok alam sesal
96 C/F Custom Coffee Garage,"Ps. Besi Kb. Sirih, Jalan Babakan Ciamis No.96/1b, Belakang No.07 RT 06",Cafe & Dessert,"Es Kopi Susu, Kopi Tubruk, Manual Brewed Coffee, Orange Coffee, Tolu Batak Manual Brew",  Rp. 25.000 - 50.000  ,Sedang,"Nyaman, Santai, Trendi","Berkelompok, Mahasiswa, Turis",Toilet,"Surganya para penikmat kuliner, 96 C/F Custom Coffee Garage dengan suasana nyaman yang membuat betah berlama-lama dan dilengkapi toilet yang terawat. Sempurna untuk berkelompok. Buruan mampir sebelum kehabisan!","96 C/F Custom Coffee Garage Cafe & Dessert Es Kopi Susu, Kopi Tubruk, Manual Brewed Coffee, Orange Coffee, Tolu Batak Manual Brew Nyaman, Santai, Trendi Toilet Berkelompok, Mahasiswa, Turis Ps. Besi Kb. Sirih, Jalan Babakan Ciamis No.96/1b, Belakang No.07 RT 06 Sedang Surganya para penikmat kuliner, 96 C/F Custom Coffee Garage dengan suasana nyaman yang membuat betah berlama-lama dan dilengkapi toilet yang terawat. Sempurna untuk berkelompok. Buruan mampir sebelum kehabisan!",c f custom coffee garage dessert es kopi susu kopi tubruk manual brewed coffee orange coffee tolu batak manual brew nyaman santai trendi toilet kelompok mahasiswa turis ps besi kb sirih jalan babakan ciamis no b belakang no rt sedang surga nikmat c f custom coffee garage suasana nyaman buat betah lama lama lengkap toilet awat sempurna kelompok buru mampir habis
A Place In Between,"Jl. Sadakeling Gg. Tanuwireja No.34/107, Kelurahan Burangrang, Kecamatan Lengkong",Cafe & Dessert,"Coffee Affogato, Sea Salt Latte, Cold Brew, White Coffe",  Rp. 25.000 - 50.000  ,Sedang,"Nyaman, Santai, Tenang, Trendi","Berkelompok, Mahasiswa","Memiliki bar, Toilet, Wi-Fi ","Pilihan tepat untuk menikmati hidangan berkualitas, A Place In Between dengan suasana nyaman yang membuat betah berlama-lama dan dilengkapi memiliki bar, toilet yang terawat, wi-fi. Sempurna untuk berkelompok. Dijamin nagih dan pengen balik lagi!","A Place In Between Cafe & Dessert Coffee Affogato, Sea Salt Latte, Cold Brew, White Coffe Nyaman, Santai, Tenang, Trendi Memiliki bar, Toilet, Wi-Fi Berkelompok, Mahasiswa Jl. Sadakeling Gg. Tanuwireja No.34/107, Kelurahan Burangrang, Kecamatan Lengkong Sedang Pilihan tepat untuk menikmati hidangan berkualitas, A Place In Between dengan suasana nyaman yang membuat betah berlama-lama dan dilengkapi memiliki bar, toilet yang terawat, wi-fi. Sempurna untuk berkelompok. Dijamin nagih dan pengen balik lagi!",a place in between dessert coffee affogato sea salt latte cold brew white coffe nyaman santai tenang trendi milik bar toilet wi fi kelompok mahasiswa jl sadakeling gg tanuwireja no lurah burangrang camat lengkong sedang pilih tepat nikmat hidang kualitas a place in between suasana nyaman buat betah lama lama lengkap milik bar toilet awat wi fi sempurna kelompok jamin nagih ken balik
Abah C�i,"Jl. Cikuray, Kelurahan Cibangkong, Kecamatan Lengkong",Masakan Indonesia,"Dumpling Abah C�i, Mie Ayam Jamur, Nasi Uwek Ayam Jamur Pedas, Es Teh Manis",  Rp. 25.000 - 50.000  ,Sedang,"Nyaman, Santai","Berkelompok, Anak-anak",Parkiran,"Menyajikan pengalaman kuliner yang tak terlupakan, Abah C�i dengan suasana nyaman yang membuat betah berlama-lama dan dilengkapi parkiran. Sempurna untuk berkelompok. Nikmati pengalaman kuliner terbaik di sini!","Abah C�i Masakan Indonesia Dumpling Abah C�i, Mie Ayam Jamur, Nasi Uwek Ayam Jamur Pedas, Es Teh Manis Nyaman, Santai Parkiran Berkelompok, Anak-anak Jl. Cikuray, Kelurahan Cibangkong, Kecamatan Lengkong Sedang Menyajikan pengalaman kuliner yang tak terlupakan, Abah C�i dengan suasana nyaman yang membuat betah berlama-lama dan dilengkapi parkiran. Sempurna untuk berkelompok. Nikmati pengalaman kuliner terbaik di sini!",abah c i indonesia dumpling abah c i mie ayam jamur nasi uwek ayam jamur pedas es teh manis nyaman santai parkir kelompok anak anak jl cikuray lurah cibangkong camat lengkong sedang saji alam tak lupa abah c i suasana nyaman buat betah lama lama lengkap parkir sempurna kelompok nikmat alam baik sini
Acus Dapur Nusantara,"Ruko ITC Kosambi, Jl. Baranang Siang No.12 Blok G",Masakan Indonesia,"Ayam Garang Asam, Ayam Goreng Pejantan, Ayam Woku, Kulit Ayam Kriuk",  Rp. 25.000 - 50.000  ,Sedang,"Nyaman, Santai",-,"Toilet, Parkiran","Destinasi kuliner yang wajib dikunjungi, Acus Dapur Nusantara dengan suasana nyaman yang membuat betah berlama-lama dan dilengkapi toilet yang terawat, parkiran. Sempurna untuk -. Nikmati pengalaman kuliner terbaik di sini!","Acus Dapur Nusantara Masakan Indonesia Ayam Garang Asam, Ayam Goreng Pejantan, Ayam Woku, Kulit Ayam Kriuk Nyaman, Santai Toilet, Parkiran - Ruko ITC Kosambi, Jl. Baranang Siang No.12 Blok G Sedang Destinasi kuliner yang wajib dikunjungi, Acus Dapur Nusantara dengan suasana nyaman yang membuat betah berlama-lama dan dilengkapi toilet yang terawat, parkiran. Sempurna untuk -. Nikmati pengalaman kuliner terbaik di sini!",acus dapur nusantara indonesia ayam garang asam ayam goreng jantan ayam woku kulit ayam kriuk nyaman santai toilet parkir ruko itc kosambi jl baranang siang no blok g sedang destinasi wajib kunjung acus dapur nusantara suasana nyaman buat betah lama lama lengkap toilet awat parkir sempurna nikmat alam baik sini
Adalah Kopi Spesialti,"Jl. Talaga Bodas No.22, Kelurahan Malabar, Kecamatan Lengkong",Cafe & Dessert,"American, Artisan Tea, Kopi Lemon, Latte, Radler Express, Tahu Cabe Garam, v60 Coffee",  Rp. 25.000 - 50.000  ,Sedang,"Nyaman, Santai, Tenang, Trendi","Berkelompok, Mahasiswa",Toilet,"Surganya para penikmat kuliner, Adalah Kopi Spesialti dengan suasana nyaman yang membuat betah berlama-lama dan dilengkapi toilet yang terawat. Sempurna untuk berkelompok. Kunjungi sekarang dan rasakan sendiri kelezatannya!","Adalah Kopi Spesialti Cafe & Dessert American, Artisan Tea, Kopi Lemon, Latte, Radler Express, Tahu Cabe Garam, v60 Coffee Nyaman, Santai, Tenang, Trendi Toilet Berkelompok, Mahasiswa Jl. Talaga Bodas No.22, Kelurahan Malabar, Kecamatan Lengkong Sedang Surganya para penikmat kuliner, Adalah Kopi Spesialti dengan suasana nyaman yang membuat betah berlama-lama dan dilengkapi toilet yang terawat. Sempurna untuk berkelompok. Kunjungi sekarang dan rasakan sendiri kelezatannya!",kopi spesialti dessert american artisan tea kopi lemon latte radler express tahu cabe garam v coffee nyaman santai tenang trendi toilet kelompok mahasiswa jl talaga bodas no lurah malabar camat lengkong sedang surga nikmat kopi spesialti suasana nyaman buat betah lama lama lengkap toilet awat sempurna kelompok kunjung sekarang rasa sendiri lezat
Agj - Ayam Geprek Jogja Ramdan,"Jl. Moch. Ramdan No.37, Kelurahan Ancol, Kecamatan Regol",Masakan Indonesia,"Ayam Geprek Jogja Komplit, Ayam Geprek Komplit Kulit Crispi, Ayam Geprek Sambal Matah, Es Puding, Es Teh Manis, Nasi Ayam Geprek Sayur, Paket Anjay, Paket Ayam Geprek Sambal Cikur Tah",  Rp. 25.000 - 50.000  ,Sedang,"Nyaman, Santai, Trendi","Berkelompok, Mahasiswa","Toilet, Wi-Fi, Parkiran","Surganya para penikmat kuliner, Agj - Ayam Geprek Jogja Ramdan dengan suasana nyaman yang membuat betah berlama-lama dan dilengkapi toilet yang terawat, wi-fi, parkiran. Sempurna untuk berkelompok. Pengalaman kuliner yang tidak akan Anda sesali!","Agj - Ayam Geprek Jogja Ramdan Masakan Indonesia Ayam Geprek Jogja Komplit, Ayam Geprek Komplit Kulit Crispi, Ayam Geprek Sambal Matah, Es Puding, Es Teh Manis, Nasi Ayam Geprek Sayur, Paket Anjay, Paket Ayam Geprek Sambal Cikur Tah Nyaman, Santai, Trendi Toilet, Wi-Fi, Parkiran Berkelompok, Mahasiswa Jl. Moch. Ramdan No.37, Kelurahan Ancol, Kecamatan Regol Sedang Surganya para penikmat kuliner, Agj - Ayam Geprek Jogja Ramdan dengan suasana nyaman yang membuat betah berlama-lama dan dilengkapi toilet yang terawat, wi-fi, parkiran. Sempurna untuk berkelompok. Pengalaman kuliner yang tidak akan Anda sesali!",agj ayam geprek jogja ramdan indonesia ayam geprek jogja komplit ayam geprek komplit kulit crispi ayam geprek sambal matah es puding es teh manis nasi ayam geprek sayur paket anjay paket ayam geprek sambal cikur tah nyaman santai trendi toilet wi fi parkir kelompok mahasiswa jl moch ramdan no lurah ancol camat regol sedang surga nikmat agj ayam geprek jogja ramdan suasana nyaman buat betah lama lama lengkap toilet awat wi fi parkir sempurna kelompok alam sesal
